epoch,loss,mae,val_loss,val_mae
0,512990.84375,510.3148498535156,182146.9375,256.7409973144531
1,156200.875,218.65573120117188,143750.265625,183.93414306640625
2,127854.6953125,155.5811309814453,126007.5390625,141.5699920654297
3,116403.96875,121.42728424072266,119617.765625,110.99408721923828
4,111529.5234375,103.86132049560547,116315.609375,96.1468276977539
5,108840.1484375,91.10855102539062,114520.21875,89.77908325195312
6,107554.859375,83.23777770996094,113763.5390625,79.83210754394531
7,106941.0546875,79.89347839355469,113374.421875,74.88333892822266
8,106484.015625,78.80438995361328,112852.6640625,87.19805908203125
9,106068.6953125,78.80140686035156,112377.46875,80.25846862792969
10,105653.3671875,78.480712890625,111928.8359375,80.27527618408203
11,105266.71875,78.59213256835938,111589.5078125,87.82612609863281
12,104858.6640625,78.86766052246094,111089.1328125,84.3230972290039
13,104460.84375,79.0230941772461,110664.375,81.00386047363281
14,104058.2734375,79.31670379638672,110218.5546875,82.74052429199219
15,103669.453125,79.80021667480469,109824.421875,79.7967300415039
16,103258.125,80.17777252197266,109452.4765625,78.5445327758789
17,102862.3359375,80.51560974121094,108964.1796875,80.58013916015625
18,102458.6796875,81.24519348144531,108567.0859375,80.64718627929688
19,102081.3203125,81.80171966552734,108144.7890625,80.87821960449219
20,101680.328125,82.45860290527344,107722.3828125,81.76979064941406
21,101280.765625,83.15289306640625,107285.84375,89.99181365966797
22,100894.6640625,84.15188598632812,106827.640625,88.05268859863281
23,100500.6796875,85.0582046508789,106380.921875,87.50875091552734
24,100102.3671875,86.16023254394531,106066.6484375,85.63172912597656
25,99740.2734375,87.06137084960938,105670.5234375,86.76504516601562
26,99368.109375,88.09089660644531,105150.984375,90.54066467285156
27,99010.15625,89.17098236083984,104853.6796875,89.5638198852539
28,98636.7734375,90.50289916992188,104395.9296875,91.91610717773438
29,98290.84375,91.75865936279297,104309.8984375,101.77135467529297
30,97966.1953125,93.13671112060547,103644.140625,95.08987426757812
31,97649.6171875,94.52298736572266,103290.953125,97.87139129638672
32,97350.390625,95.67401123046875,102982.515625,100.7076187133789
33,97062.1328125,97.36429595947266,102655.4609375,101.26094055175781
34,96788.8984375,98.82331085205078,102589.8515625,99.6170654296875
