epoch,loss,mae,val_loss,val_mae
0,379951872.0,959.4354858398438,141143.421875,234.42242431640625
1,137192.140625,232.69078063964844,141113.078125,235.1619110107422
2,137181.015625,232.6537628173828,141765.21875,239.56790161132812
3,137182.859375,232.76333618164062,141150.140625,234.33926391601562
4,137197.234375,232.73805236816406,141218.578125,233.76849365234375
5,137184.578125,232.64990234375,141112.90625,235.25062561035156
6,137191.203125,232.72450256347656,141152.953125,234.3068389892578
7,137200.515625,232.7205352783203,141206.421875,233.8484649658203
8,137184.5,232.6532440185547,141237.75,236.97430419921875
9,137182.3125,232.7499542236328,141141.671875,234.44386291503906
10,137198.515625,232.6948699951172,141130.21875,235.85487365722656
11,137202.65625,232.70713806152344,141250.3125,237.06748962402344
12,137182.765625,232.70301818847656,141250.140625,237.0655517578125
13,137190.15625,232.7124481201172,141132.1875,235.8899688720703
14,137188.21875,232.72525024414062,141138.0625,234.49560546875
15,137189.59375,232.72535705566406,141147.46875,234.37124633789062
16,137190.015625,232.71298217773438,141130.28125,234.61993408203125
17,137193.671875,232.7144775390625,141183.25,234.0218505859375
18,137189.1875,232.67750549316406,141131.484375,234.59849548339844
19,137193.296875,232.6999969482422,141153.359375,234.30223083496094
20,137201.046875,232.71095275878906,141153.796875,234.29733276367188
21,137188.640625,232.67991638183594,141118.875,234.8720703125
22,137183.890625,232.68516540527344,141118.984375,234.86489868164062
23,137176.65625,232.699462890625,141154.96875,234.28558349609375
24,137186.578125,232.6693115234375,141175.78125,234.08433532714844
25,137190.015625,232.69024658203125,141117.65625,235.5579833984375
26,137197.90625,232.71043395996094,141113.390625,235.33761596679688
27,137193.125,232.7165985107422,141185.015625,234.00660705566406
28,137203.640625,232.72732543945312,141115.96875,234.9705810546875
29,137185.296875,232.6604766845703,141254.265625,237.0956573486328
30,137191.4375,232.7796630859375,141201.671875,233.8824005126953
31,137190.546875,232.67172241210938,141120.390625,235.63973999023438
32,137184.15625,232.673095703125,141434.3125,238.16600036621094
33,137200.796875,232.76510620117188,141190.59375,236.5814208984375
34,137193.359375,232.78982543945312,141190.390625,233.96395874023438
35,137193.1875,232.66368103027344,141167.546875,236.35391235351562
36,137188.40625,232.7328643798828,141144.25,236.07241821289062
37,137195.390625,232.7540283203125,141121.15625,235.6624298095703
38,137193.71875,232.7449951171875,141179.125,234.05482482910156
39,137178.546875,232.65866088867188,141117.1875,234.9279327392578
40,137194.34375,232.71926879882812,141255.8125,233.5512237548828
41,137179.140625,232.69155883789062,141181.40625,234.03663635253906
42,137192.390625,232.6636199951172,141118.140625,235.57200622558594
43,137189.703125,232.7134552001953,141112.84375,235.2313232421875
44,137188.828125,232.6954345703125,141138.234375,235.98484802246094
45,137187.234375,232.7244415283203,141125.515625,234.70997619628906
46,137180.859375,232.65943908691406,141154.109375,234.2948760986328
47,137197.140625,232.7063446044922,141157.328125,234.2598876953125
48,137197.015625,232.73939514160156,141179.421875,234.05233764648438
49,137197.234375,232.6918487548828,141153.140625,234.30377197265625
50,137186.109375,232.6671600341797,141205.25,236.71250915527344
51,137194.109375,232.7473907470703,141119.515625,234.8534698486328
52,137183.890625,232.6754913330078,141148.640625,236.13246154785156
53,137186.78125,232.73861694335938,141112.84375,235.21778869628906
54,137192.5625,232.7136688232422,141113.46875,235.11520385742188
55,137183.875,232.68699645996094,141117.640625,235.55906677246094
56,137193.890625,232.71194458007812,141113.59375,235.35523986816406
57,137181.78125,232.6464080810547,141151.09375,236.16285705566406
58,137182.5,232.73654174804688,141232.703125,233.68006896972656
59,137178.3125,232.67120361328125,141196.234375,233.91983032226562
60,137184.921875,232.64849853515625,141218.609375,236.82388305664062
61,137195.359375,232.71157836914062,141204.359375,236.70433044433594
62,137188.203125,232.7087860107422,141185.984375,236.5376739501953
63,137189.28125,232.7288818359375,141159.625,234.23580932617188
64,137195.03125,232.68069458007812,141113.84375,235.37106323242188
65,137192.734375,232.6976776123047,141118.4375,235.583251953125
66,137188.484375,232.75477600097656,141117.40625,234.92068481445312
67,137185.0,232.7283172607422,141141.546875,234.44717407226562
68,137195.65625,232.69024658203125,141121.78125,235.6787567138672
69,137189.125,232.72552490234375,141134.53125,234.54852294921875
70,137163.640625,232.6613311767578,141179.796875,236.47784423828125
71,137158.3125,232.65573120117188,141222.703125,236.85655212402344
72,137191.25,232.78738403320312,141224.234375,233.7320556640625
73,137196.734375,232.71400451660156,141233.5625,233.676025390625
74,137172.53125,232.68777465820312,141170.71875,234.12692260742188
75,137181.765625,232.6464080810547,141176.171875,236.4421844482422
76,137195.421875,232.7147674560547,141128.40625,235.82101440429688
77,137195.265625,232.70811462402344,141116.296875,235.5065155029297
78,137192.03125,232.69837951660156,141118.78125,235.5918731689453
79,137175.75,232.67808532714844,141195.0,236.62216186523438
80,137180.953125,232.73069763183594,141423.015625,232.86183166503906
81,137184.453125,232.60629272460938,141129.15625,235.83352661132812
82,137173.515625,232.74951171875,141315.0,233.27061462402344
83,137190.1875,232.687255859375,141158.203125,234.2501678466797
84,137184.609375,232.69334411621094,141124.84375,234.72262573242188
85,137179.96875,232.62594604492188,141273.09375,237.22817993164062
86,137191.234375,232.77618408203125,141160.4375,234.22743225097656
87,137183.109375,232.65383911132812,141265.703125,237.17691040039062
88,137184.234375,232.6773681640625,141367.953125,237.81350708007812
89,137188.75,232.74746704101562,141113.1875,235.3102264404297
90,137192.109375,232.7161865234375,141131.25,235.872802734375
91,137191.859375,232.69837951660156,141169.015625,236.36883544921875
92,137194.5,232.73851013183594,141118.359375,235.58128356933594
93,137181.390625,232.70867919921875,141240.25,233.63626098632812
94,137186.03125,232.65463256835938,141132.59375,234.57814025878906
95,137202.03125,232.74087524414062,141147.140625,234.37649536132812
96,137195.140625,232.71571350097656,141164.53125,234.18692016601562
97,137191.765625,232.6501922607422,141177.65625,236.45729064941406
98,137188.140625,232.67897033691406,141116.140625,235.4981689453125
99,137185.96875,232.71688842773438,141125.828125,235.7728271484375
100,137184.59375,232.70657348632812,141174.890625,236.42880249023438
101,137190.0625,232.7359161376953,141136.59375,235.9612274169922
102,137195.40625,232.72657775878906,141142.6875,234.43238830566406
103,137181.578125,232.67916870117188,141139.8125,236.01100158691406
104,137186.375,232.6912841796875,141119.984375,234.84022521972656
105,137178.890625,232.6714324951172,141406.671875,238.02423095703125
106,137180.265625,232.73403930664062,141221.46875,236.84716796875
107,137197.671875,232.69989013671875,141120.4375,235.64370727539062
108,137184.0,232.70045471191406,141211.984375,236.77011108398438
109,137195.71875,232.7014617919922,141161.6875,236.28712463378906
110,137191.546875,232.74420166015625,141112.984375,235.2014617919922
111,137169.84375,232.67083740234375,141133.078125,234.5718231201172
112,137178.71875,232.71693420410156,141134.828125,234.54415893554688
113,137185.5625,232.65670776367188,141113.125,235.1597900390625
114,137178.546875,232.7058563232422,141182.484375,234.0284423828125
115,137193.734375,232.6818389892578,141114.171875,235.06051635742188
116,137185.046875,232.69602966308594,141153.84375,236.19691467285156
117,137171.109375,232.7377166748047,141350.234375,233.1256866455078
118,137188.8125,232.69577026367188,141135.234375,234.5359649658203
119,137195.140625,232.67276000976562,141292.125,237.35537719726562
120,137193.921875,232.73545837402344,141132.125,234.58705139160156
121,137185.78125,232.6634063720703,141150.96875,234.3290557861328
122,137175.078125,232.67808532714844,141189.234375,233.9730224609375
123,137191.890625,232.7001190185547,141115.390625,234.99853515625
124,137191.3125,232.65957641601562,141123.0,235.7063751220703
125,137186.515625,232.692138671875,141306.578125,237.44837951660156
126,137209.0625,232.76170349121094,141150.890625,234.33148193359375
127,137184.234375,232.67291259765625,141119.734375,235.62493896484375
128,137189.6875,232.7021942138672,141128.96875,235.83229064941406
129,137190.5,232.6923370361328,141162.484375,236.2975616455078
130,137193.8125,232.72238159179688,141147.984375,234.36451721191406
131,137187.578125,232.67140197753906,141145.484375,236.088623046875
132,137196.96875,232.7443389892578,141117.796875,234.90660095214844
133,137187.3125,232.6903076171875,141120.234375,235.6375732421875
134,137181.1875,232.70657348632812,141113.640625,235.36341857910156
135,137194.015625,232.70164489746094,141130.9375,235.868408203125
136,137197.421875,232.70803833007812,141170.5,234.12936401367188
137,137194.546875,232.7030487060547,141138.1875,234.4943389892578
138,137191.84375,232.6767578125,141117.90625,235.56674194335938
139,137176.40625,232.66505432128906,141166.625,236.34288024902344
140,137185.65625,232.74020385742188,141179.78125,234.05014038085938
141,137192.65625,232.67881774902344,141135.03125,235.933837890625
142,137178.5,232.69268798828125,141115.171875,235.00616455078125
143,137186.953125,232.70555114746094,141142.6875,234.43116760253906
144,137184.640625,232.6604766845703,141165.953125,236.33596801757812
145,137183.71875,232.7189483642578,141118.859375,234.8715362548828
146,137193.265625,232.71437072753906,141228.453125,233.7059783935547
147,137191.796875,232.68807983398438,141123.0625,235.7073974609375
148,137187.578125,232.73353576660156,141175.03125,234.09027099609375
149,137193.578125,232.7288360595703,141238.734375,233.64500427246094
150,137190.703125,232.68112182617188,141136.765625,234.513671875
151,137190.0,232.67337036132812,141112.9375,235.20281982421875
152,137176.046875,232.7007598876953,141192.140625,233.95162963867188
153,137192.78125,232.72653198242188,141278.046875,233.43930053710938
154,137194.0625,232.68495178222656,141170.421875,234.12982177734375
155,137178.234375,232.7102813720703,141194.03125,233.93789672851562
156,137170.609375,232.6876678466797,141124.3125,234.73463439941406
157,137176.015625,232.6942901611328,141160.4375,234.22743225097656
158,137202.125,232.72976684570312,141174.140625,234.09854125976562
159,137171.6875,232.6489715576172,141170.3125,236.3825225830078
160,137191.1875,232.71343994140625,141142.671875,236.0509490966797
161,137191.265625,232.70314025878906,141117.34375,235.543212890625
162,137185.578125,232.7272186279297,141167.703125,234.1558380126953
163,137193.375,232.7233123779297,141112.90625,235.20970153808594
164,137196.84375,232.734375,141155.8125,234.2764892578125
165,137194.96875,232.6949005126953,141131.03125,235.87059020996094
166,137183.09375,232.70120239257812,141113.984375,235.07064819335938
167,137185.921875,232.73785400390625,141141.625,234.44569396972656
168,137183.078125,232.7250518798828,141149.71875,234.34423828125
169,137199.84375,232.72540283203125,141125.546875,234.70834350585938
170,137190.40625,232.72604370117188,141125.171875,234.71507263183594
171,137185.1875,232.7331085205078,141337.921875,233.1745147705078
172,137193.09375,232.6519317626953,141126.453125,235.78292846679688
173,137171.4375,232.72518920898438,141145.203125,234.3999786376953
174,137194.640625,232.69268798828125,141141.453125,234.44927978515625
175,137202.78125,232.71340942382812,141129.125,234.6404571533203
176,137198.203125,232.69740295410156,141113.171875,235.3095703125
177,137194.375,232.71377563476562,141155.734375,234.27745056152344
178,137182.421875,232.70187377929688,141178.53125,234.05967712402344
179,137189.046875,232.6935577392578,141122.71875,234.7675018310547
180,137180.546875,232.67770385742188,141115.015625,235.44891357421875
181,137174.359375,232.69236755371094,141113.640625,235.10028076171875
182,137174.625,232.6903839111328,141113.15625,235.3128662109375
183,137179.453125,232.68832397460938,141133.15625,235.90492248535156
184,137204.078125,232.73941040039062,141137.109375,234.50946044921875
185,137187.46875,232.6923370361328,141113.5625,235.12164306640625
186,137185.046875,232.7305145263672,141150.5625,234.33547973632812
187,137191.28125,232.70106506347656,141113.046875,235.17349243164062
188,137175.953125,232.67816162109375,141117.828125,234.9020538330078
189,137188.125,232.75164794921875,141246.78125,233.60028076171875
190,137181.921875,232.65521240234375,141119.734375,234.8489990234375
191,137180.328125,232.65863037109375,141113.609375,235.35751342773438
192,137193.40625,232.71353149414062,141175.671875,236.4368133544922
193,137180.09375,232.73931884765625,141128.40625,234.6513671875
194,137176.3125,232.63668823242188,141274.125,237.23475646972656
195,137202.1875,232.73983764648438,141122.8125,234.76597595214844
196,137192.328125,232.70501708984375,141126.3125,234.6928253173828
197,137186.453125,232.68704223632812,141169.328125,234.14144897460938
198,137194.375,232.6827850341797,141254.5625,237.0980682373047
199,137188.15625,232.72830200195312,141118.46875,235.58584594726562
200,137179.140625,232.6874237060547,141121.25,235.66497802734375
201,137191.140625,232.7276611328125,141113.234375,235.31106567382812
202,137188.640625,232.7093048095703,141123.953125,235.7303466796875
203,137180.71875,232.67138671875,141212.015625,236.77032470703125
204,137196.65625,232.7615966796875,141194.6875,233.9324493408203
205,137192.8125,232.70350646972656,141178.9375,234.0560760498047
206,137175.375,232.7040252685547,141223.53125,233.73680114746094
207,137191.015625,232.7023468017578,141156.5625,234.26820373535156
208,137188.53125,232.7023468017578,141176.390625,234.0789337158203
209,137194.34375,232.65139770507812,141160.328125,236.27427673339844
210,137177.65625,232.7353515625,141174.46875,234.09457397460938
211,137186.0,232.67041015625,141189.234375,236.5681610107422
212,137188.8125,232.73638916015625,141114.625,235.42726135253906
213,137190.921875,232.71865844726562,141140.265625,234.4657440185547
214,137187.015625,232.69317626953125,141189.921875,233.96771240234375
215,137183.203125,232.68356323242188,141113.546875,235.3520965576172
216,137192.375,232.67431640625,141226.140625,236.88331604003906
217,137195.09375,232.7207794189453,141124.265625,235.73703002929688
