epoch,MAE,loss,val_MAE,val_loss
0,165.95965576171875,170246.234375,82.29137420654297,112677.953125
1,83.73452758789062,104758.4453125,81.940185546875,109081.8359375
2,89.74078369140625,101094.0,94.49732208251953,104553.6796875
3,101.46709442138672,97374.96875,116.19680786132812,101249.015625
4,116.33647918701172,94693.8984375,121.83589172363281,98431.3984375
5,123.7605209350586,92177.28125,128.00267028808594,96327.375
6,124.87235260009766,86975.6484375,125.8942642211914,86183.4765625
7,122.3595962524414,77796.0703125,112.1566390991211,75235.3671875
8,111.87535858154297,65981.5546875,97.24148559570312,69352.5
9,97.9664077758789,56843.171875,92.92241668701172,53831.33984375
10,84.6854248046875,51531.71875,80.78397369384766,48655.91796875
11,76.47405242919922,49246.62890625,64.75929260253906,47380.83203125
12,71.98528289794922,48361.90234375,65.7237777709961,51191.58203125
13,69.68663787841797,47779.421875,62.59299850463867,45397.3359375
14,68.47555541992188,47444.49609375,70.00949096679688,45223.9765625
15,66.64457702636719,46910.83984375,67.18205261230469,51157.5
16,66.03901672363281,46701.2734375,64.037841796875,44650.625
17,64.75838470458984,45857.0703125,70.52943420410156,46817.83984375
18,64.47134399414062,45712.7265625,64.4373779296875,46506.265625
19,64.41825103759766,45210.9375,51.33243942260742,45725.234375
20,63.040950775146484,44599.671875,51.98746109008789,43380.88671875
21,62.15288162231445,44004.28125,73.66815185546875,48969.46875
22,62.244144439697266,44184.37890625,65.2605972290039,43571.96875
23,61.91317367553711,43484.625,64.61658477783203,41813.75
24,60.51598358154297,42938.12890625,66.02059936523438,42637.6328125
25,60.449642181396484,42604.19921875,90.72314453125,48826.99609375
26,60.115882873535156,42380.68359375,64.69650268554688,40098.87109375
27,59.23792266845703,41970.546875,60.09354782104492,41350.359375
28,58.758914947509766,41567.25,68.74014282226562,41987.1875
29,57.88888168334961,40844.25,62.37610626220703,40899.13671875
30,56.941951751708984,40344.421875,48.31260681152344,39757.4453125
31,57.3371467590332,40758.34375,48.724361419677734,44613.390625
32,56.37257766723633,39714.9453125,58.41988754272461,39408.94140625
33,56.203128814697266,39658.42578125,68.81194305419922,39486.42578125
34,55.030029296875,38876.43359375,49.57707595825195,38241.5703125
35,55.146541595458984,38737.84375,45.44484329223633,39454.65625
36,54.628639221191406,38852.9453125,53.032928466796875,36736.140625
37,53.75767135620117,37817.80859375,43.58344650268555,41816.1171875
38,53.250308990478516,37823.6875,49.980926513671875,48144.7890625
39,52.62034225463867,37429.55859375,52.182979583740234,37822.140625
40,51.441551208496094,36748.8203125,57.769683837890625,35479.59765625
41,51.05479431152344,36438.140625,49.34219741821289,35438.1171875
42,50.692569732666016,36239.53515625,50.41490173339844,35365.140625
43,50.59786605834961,36057.47265625,46.05439758300781,35614.51953125
44,50.54230880737305,35854.03125,50.310482025146484,34762.3515625
45,48.93191909790039,34788.98828125,42.45576858520508,36371.9765625
46,48.343780517578125,34881.2578125,45.88252639770508,43812.16015625
47,49.05205535888672,34840.81640625,52.85973358154297,35084.44140625
48,48.97377014160156,34682.52734375,59.106300354003906,36852.38671875
49,48.209747314453125,34225.28125,69.44462585449219,48490.8359375
50,48.34433364868164,33998.28125,49.71197509765625,34586.8203125
51,47.33953094482422,33831.27734375,49.15498733520508,34395.203125
52,48.149261474609375,33589.40234375,54.68354415893555,33201.12890625
53,47.88677215576172,34028.84765625,56.20951843261719,35457.85546875
54,46.97547912597656,32737.9296875,46.24928283691406,33689.33203125
55,47.247352600097656,33220.08203125,46.83701705932617,35631.3359375
56,46.08116149902344,32261.15234375,43.255592346191406,40142.48828125
57,46.8754997253418,32552.755859375,49.07572555541992,33344.6875
58,45.74668884277344,31820.3359375,63.29917526245117,39665.94140625
59,46.19972610473633,31674.75,47.02927780151367,32180.40625
60,45.05784225463867,31349.75390625,45.982879638671875,32143.767578125
61,45.851680755615234,31433.0703125,44.313114166259766,34290.2109375
62,44.74094772338867,31073.455078125,48.875091552734375,33519.69921875
63,45.05802536010742,31220.796875,45.63856506347656,31939.73046875
64,44.34738540649414,30672.021484375,58.49647903442383,39995.79296875
65,44.68409729003906,30833.400390625,47.5817756652832,31352.8203125
66,44.41279983520508,30477.03125,47.187870025634766,31711.21484375
67,45.076454162597656,30936.873046875,47.85417938232422,33256.9765625
68,43.65168762207031,29812.318359375,41.27328109741211,31268.2890625
69,43.89692687988281,29977.126953125,42.29193878173828,30650.85546875
70,43.73306655883789,29700.3671875,51.38555908203125,30950.60546875
71,43.55857849121094,29685.455078125,42.17680740356445,31122.00390625
72,42.95210647583008,28935.79296875,43.156471252441406,30132.62890625
73,43.072723388671875,29085.46484375,38.275291442871094,31924.45703125
74,42.603878021240234,28711.787109375,42.43662643432617,30465.21484375
75,42.36372375488281,28637.775390625,45.93329620361328,35309.6171875
76,42.273563385009766,28053.67578125,39.79542541503906,29460.740234375
77,42.76383972167969,28282.18359375,40.694461822509766,31801.33984375
78,42.70189666748047,28517.921875,63.13572311401367,37747.59765625
79,42.23099899291992,27759.49609375,48.59086990356445,30088.3515625
80,41.62815856933594,27780.787109375,38.690181732177734,32479.2265625
81,41.305908203125,27350.35546875,42.062217712402344,33373.64453125
82,41.9506950378418,27541.609375,63.962684631347656,33891.640625
83,41.460025787353516,27718.404296875,39.44696807861328,37200.62109375
84,42.16631317138672,27572.984375,45.3288459777832,32060.4765625
85,42.04170608520508,27472.298828125,49.52923583984375,29940.08984375
86,41.65372085571289,27102.34765625,47.00804901123047,34203.04296875
87,41.44977569580078,26896.30859375,43.58392333984375,29556.2578125
88,41.39338684082031,26893.869140625,41.04074478149414,28634.666015625
89,40.959327697753906,26273.078125,39.985538482666016,28766.28125
90,40.54399871826172,26002.771484375,40.400779724121094,34029.5234375
91,40.56746292114258,26160.544921875,60.55126953125,48063.5234375
92,41.32802963256836,26634.9375,38.111568450927734,37431.78125
93,40.30641555786133,26125.556640625,45.45656967163086,32006.90625
94,40.97397994995117,26399.09375,42.852046966552734,28238.240234375
95,40.98847198486328,26239.140625,58.724510192871094,30772.734375
96,40.797183990478516,25814.404296875,55.71341323852539,41243.65234375
97,39.604469299316406,25393.64453125,45.08135986328125,35634.56640625
98,40.78347396850586,25874.4375,43.296348571777344,28537.5390625
99,40.10295486450195,25303.244140625,43.06943893432617,38786.38671875
100,39.666160583496094,24842.544921875,38.61124038696289,28462.466796875
101,39.8326301574707,25250.041015625,38.761573791503906,28240.2578125
102,39.97167205810547,25042.65625,38.40031433105469,28517.654296875
103,40.49739456176758,25306.697265625,36.18093490600586,28173.072265625
104,40.16231155395508,25081.83203125,40.43960189819336,28646.162109375
105,39.46621322631836,24964.76953125,37.68826675415039,32427.515625
106,38.943511962890625,24099.25,40.6374397277832,27837.27734375
107,38.62648391723633,24119.130859375,35.79419708251953,28812.04296875
108,40.003395080566406,24484.787109375,52.18526077270508,28809.201171875
109,39.665367126464844,24592.4296875,58.07290267944336,40535.890625
110,39.27925109863281,23979.66796875,38.85887908935547,29300.5625
111,39.02501678466797,23935.640625,44.76325607299805,27812.90234375
