epoch,MAE,loss
0,28.91368293762207,14500.1220703125
1,10.719588279724121,339.2769775390625
2,9.445794105529785,258.6527099609375
3,8.654951095581055,180.79624938964844
4,7.729438304901123,195.74343872070312
5,7.147414684295654,129.41400146484375
6,7.249059677124023,136.681884765625
7,6.679442882537842,140.80923461914062
8,6.736926078796387,142.2213592529297
9,5.864325523376465,95.78575134277344
10,5.022950649261475,70.82383728027344
11,4.963382244110107,88.84285736083984
12,4.799050807952881,73.02457427978516
13,4.83997917175293,67.6905517578125
14,4.318421840667725,61.401676177978516
15,4.25197172164917,59.20187759399414
16,4.047404766082764,59.91143798828125
17,3.6272997856140137,50.713253021240234
18,3.249415397644043,40.778507232666016
19,3.5550718307495117,51.0179557800293
20,2.9224562644958496,39.106998443603516
21,3.0529494285583496,39.03813171386719
22,3.1225340366363525,39.916378021240234
23,3.0402798652648926,35.092567443847656
24,2.7259721755981445,34.79409408569336
25,2.8536574840545654,34.146339416503906
26,2.8253276348114014,30.4009952545166
27,2.711195945739746,30.784589767456055
28,2.8745675086975098,33.8787956237793
29,2.4733316898345947,28.75649642944336
30,2.660672426223755,35.36467742919922
31,2.6635754108428955,31.296499252319336
32,2.5833213329315186,29.120147705078125
33,2.660046100616455,29.79491424560547
34,2.5415892601013184,30.50002670288086
35,2.485837936401367,27.032230377197266
36,2.531540632247925,29.875347137451172
37,2.494865894317627,29.07892417907715
38,2.627869129180908,31.739501953125
39,2.343022346496582,28.41368293762207
40,2.27901291847229,27.55438995361328
41,2.392781972885132,27.712440490722656
42,2.2480382919311523,25.73453140258789
43,2.5578770637512207,30.469505310058594
44,2.1786749362945557,27.12800407409668
45,1.9715805053710938,23.283185958862305
46,2.3367419242858887,29.15837860107422
47,2.3524484634399414,25.85280990600586
48,2.238311767578125,25.040231704711914
49,2.3059210777282715,26.630172729492188
50,2.0839147567749023,25.36602020263672
51,1.982750654220581,24.228424072265625
52,2.1840429306030273,24.907917022705078
53,2.1849119663238525,27.673906326293945
54,1.9956660270690918,21.84449577331543
55,2.316068172454834,25.70985984802246
56,2.23315167427063,27.867015838623047
57,2.0222907066345215,23.884309768676758
58,2.108652114868164,23.657257080078125
59,2.056196689605713,23.91267204284668
60,2.067005157470703,23.814979553222656
61,2.211313247680664,25.948223114013672
62,1.9097570180892944,23.264944076538086
63,2.0161430835723877,24.23732566833496
